match_number,home_team,away_team,lean_score,lean_label,confidence,home_rating,away_rating,home_win_probability,draw_probability,away_win_probability,model_summary,environment_note,pre_match_status,pre_match_updated_at,evidence_summary,pre_match_sources,factor_breakdown
95,Winner Match 86,Winner Match 88,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
96,Winner Match 85,Winner Match 87,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
97,Winner Match 89,Winner Match 90,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
98,Winner Match 93,Winner Match 94,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
99,Winner Match 91,Winner Match 92,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
100,Winner Match 95,Winner Match 96,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
101,Winner Match 97,Winner Match 98,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
102,Winner Match 99,Winner Match 100,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
103,Loser Match 101,Loser Match 102,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
104,Winner Match 101,Winner Match 102,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
